ChargerId,PlugId,MaxPower
ACH-00033,PT*ATL*EACH*00033*1,22000
ACH-00033,PT*ATL*EACH*00033*2,22000
ACH-00034,PT*ATL*EACH*00034*1,22000
ACH-00034,PT*ATL*EACH*00034*2,22000
ACH-00035,PT*ATL*EACH*00035*1,60000
ACH-00036,PT*ATL*EACH*00036*1,150000
ACH-00036,PT*ATL*EACH*00036*2,150000
ACH-00037,PT*GLP*EACH*00037*02,50000
ACH-00037,PT*GLP*EACH*00037*03,43000
ACH-00039,PT*EDP*EACH*00039*1,22000
ACH-00039,PT*EDP*EACH*00039*2,22000
ACH-00040,PT*EDP*EACH*00040*1,120000
ACH-00040,PT*EDP*EACH*00040*2,120000
ACH-00041,PT*EDP*EACH*00041*1,60000
ACH-00041,PT*EDP*EACH*00041*2,60000
ACH-00041,PT*EDP*EACH*00041*3,22000
ACH-90006,PT*HRZ*E*ACH*90006*1,22000
ACH-90006,PT*HRZ*E*ACH*90006*2,22000
ACN-00002,PT*MLT*EACN*00002*01,22000
ACN-00002,PT*MLT*EACN*00002*02,22000
ACN-00004,PT*MLT*EACN*00004*01,22000
ACN-00004,PT*MLT*EACN*00004*02,22000
ACN-00006,PT*EDP*E*ACN*00006*01,7400
ACN-00006,PT*EDP*E*ACN*00006*02,7400
ACN-00006,PT*EDP*EACN*00006*1,7400
ACN-00006,PT*EDP*EACN*00006*2,7400
ACN-00007,PT*EDP*E*ACN*00007*01,7400
ACN-00007,PT*EDP*E*ACN*00007*02,7400
ACN-00007,PT*EDP*EACN*00007*1,7400
ACN-00007,PT*EDP*EACN*00007*2,7400
ACN-00008,PT*KLS*E*ACN*00008*01,22000
ACN-00008,PT*KLS*E*ACN*00008*02,50000
ACN-00010,PT*ATL*EACN*00010*2,60000
ACN-00010,PT*ATL*EACN*00010*3,22000
ACN-00011,PT*HLX*E*ACN*00011*01,150000
ACN-00011,PT*HLX*E*ACN*00011*02,150000
ACN-00012,PT*GLP*EACN*00012*01,22000
ACN-00012,PT*GLP*EACN*00012*02,50000
ACN-90001,PT*HRZ*E*ACN*90001*1,22000
ACN-90001,PT*HRZ*E*ACN*90001*2,22000
ACT-00004,PT*GLP*EACT*00004*01,22000
ACT-00004,PT*GLP*EACT*00004*02,22000
ACT-80002,PT*ATL*E*ACT*80002*01,22000
ACT-80002,PT*ATL*E*ACT*80002*02,22000
ACT-90001,PT*EDP*E*ACT*90001*01,22000
ACT-90001,PT*EDP*E*ACT*90001*02,22000
ADL-90001,PT*EDP*E*ADL*90001*1,22000
ADL-90001,PT*EDP*E*ADL*90001*2,22000
ADL-90001,PT*EDP*EADL*90001*1,22000
ADL-90001,PT*EDP*EADL*90001*2,22000
ADV-00016,PT*ATL*EADV*00016*2,60000
ADV-00016,PT*ATL*EADV*00016*3,22000
ADV-00017,PT*IOY*E425701,350000
ADV-00017,PT*IOY*E425702,350000
ADV-00017,PT*IOY*E425703,350000
ADV-00017,PT*IOY*E425704,350000
ADV-00017,PT*IOY*E425705,350000
ADV-00017,PT*IOY*E425706,350000
ADV-00018,PT*IOY*E425801,350000
ADV-00018,PT*IOY*E425802,350000
ADV-00018,PT*IOY*E425803,350000
ADV-00018,PT*IOY*E425804,350000
ADV-00018,PT*IOY*E425805,350000
ADV-00018,PT*IOY*E425806,350000
ADV-90001,PT*HRZ*E*ADV*90001*1,22000
ADV-90001,PT*HRZ*E*ADV*90001*2,22000
AFE-00002,PT*EDP*E*AFE*00002*02,50000
AFE-00002,PT*EDP*E*AFE*00002*03,43000
AFE-90001,PT*HRZ*E*AFE*90001*1,22000
AFE-90001,PT*HRZ*E*AFE*90001*2,22000
AGB-00002,PT*EDP*E*AGB*00002*01,22000
AGB-00002,PT*EDP*E*AGB*00002*02,22000
AGB-00002,PT*EDP*EAGB*00002*1,22000
AGB-00002,PT*EDP*EAGB*00002*2,22000
AGB-00003,PT*FCT*E*AGB*00003*01,200000
AGB-00003,PT*FCT*E*AGB*00003*02,200000
AGB-80001,PT*ATL*EAGB*80001*1,22000
AGB-80001,PT*ATL*EAGB*80001*2,22000
AGD-00005,PT*IBD*E*AGD*00005*01,22000
AGD-00005,PT*IBD*E*AGD*00005*02,22000
AGD-00007,PT*HRZ*E*AGD*00007*01,22000
AGD-00007,PT*HRZ*E*AGD*00007*02,22000
AGD-00008,PT*GLP*EAGD*00008*01,22000
AGD-00008,PT*GLP*EAGD*00008*02,22000
AGD-00009,PT*EDP*E*AGD*00009*01,90000
AGD-00009,PT*EDP*E*AGD*00009*03,22000
AGD-00009,PT*EDP*EAGD*00009*1,90000
AGD-00009,PT*EDP*EAGD*00009*3,22000
AGD-00012,PT*KLS*E*AGD*00012*01,22000
AGD-00012,PT*KLS*E*AGD*00012*02,49000
AGD-00013,PT*EDP*E*AGD*00013*01,22000
AGD-00013,PT*EDP*E*AGD*00013*02,22000
AGD-00013,PT*EDP*EAGD*00013*1,22000
AGD-00013,PT*EDP*EAGD*00013*2,22000
AGD-00014,PT*EDP*E*AGD*00014*01,22000
AGD-00014,PT*EDP*E*AGD*00014*02,22000
AGD-00014,PT*EDP*EAGD*00014*1,22000
AGD-00014,PT*EDP*EAGD*00014*2,22000
AGD-00015,PT*EDP*E*AGD*00015*01,22000
AGD-00015,PT*EDP*E*AGD*00015*02,22000
AGD-00015,PT*EDP*EAGD*00015*1,22000
AGD-00015,PT*EDP*EAGD*00015*2,22000
AGD-00016,PT*ATL*EAGD*00016*2,60000
AGD-00016,PT*ATL*EAGD*00016*3,22000
AGD-00018,PT*FCT*E*AGD*00018*01,150000
AGD-00018,PT*FCT*E*AGD*00018*03,150000
AGD-00019,PT*GLP*EAGD*00019*01,22000
AGD-00019,PT*GLP*EAGD*00019*02,50000
AGD-00037,PT*ATL*EAGD*00037*1,120000
AGD-00037,PT*ATL*EAGD*00037*3,22000
AGD-90001,PT*EDP*E*AGD*90001*01,22000
AGD-90001,PT*EDP*E*AGD*90001*02,22000
AGH-00001,PT*GLG*EAGH*00001*02,50000
AGH-00001,PT*GLG*EAGH*00001*03,43000
AGH-00002,PT*EDP*E*AGH*00002*01,22000
AGH-00002,PT*EDP*E*AGH*00002*02,22000
AGH-00003,PT*SEG*E*AGH*00003*02,50000
AGH-00003,PT*SEG*E*AGH*00003*03,43000
AGH-00004,PT*SEG*E*AGH*00004*1,7400
AGH-00005,PT*EDP*E*AGH*00005*01,90000
AGH-00005,PT*EDP*E*AGH*00005*03,22000
AGH-00006,PT*SEG*E*AGH*00006*01,22000
AGH-00006,PT*SEG*E*AGH*00006*02,22000
AGH-00007,PT*SEG*E*AGH*00007*01,22000
AGH-00007,PT*SEG*E*AGH*00007*02,22000
AGH-00008,PT*SEG*E*AGH*00008*01,22000
AGH-00008,PT*SEG*E*AGH*00008*02,22000
AGH-00010,PT*SEG*E*AGH*00010*01,22000
AGH-00010,PT*SEG*E*AGH*00010*02,22000
AGH-00011,PT*EDP*E*AGH*00011*01,22000
AGH-00011,PT*EDP*E*AGH*00011*02,22000
AGH-00012,PT*SEG*E*AGH*00012*01,22000
AGH-00013,PT*SEG*E*AGH*00013*01,22000
AGH-00014,PT*SEG*E*AGH*00014*01,22000
AGN-00003,PT*EDP*E*AGN*00003*01,22000
AGN-00003,PT*EDP*E*AGN*00003*02,22000
AGN-00003,PT*EDP*EAGN*00003*1,22000
AGN-00003,PT*EDP*EAGN*00003*2,22000
AGN-00004,PT*KLS*E*AGN*00004*02,43000
AGN-00006,PT*LUZ*E*AGN*00006*01,22000
AGN-00006,PT*LUZ*E*AGN*00006*02,22000
AGN-00007,PT*GLP*EAGN*00007*02,50000
