LOCATION_UID;CONNECTOR_ID;VALID_FROM;COMPONENT_TYPE;PRICE;MIN_DURATION;MAX_DURATION;MIN_KWH;MAX_KWH;START_HOUR;END_HOUR
LRA-00026;1;2022-12-08;TIME;0,03;0;;;;;
LRA-00027;1;2022-12-08;TIME;0,03;0;;;;;
LRA-00028;1;2021-02-13;ENERGY;0,5121;;;0;;;
LRA-00029;1;2021-02-13;ENERGY;0,5121;;;0;;;
LRA-00030;1;2021-02-13;ENERGY;0,5121;;;0;;;
LRA-00031;1;2021-02-13;ENERGY;0,5121;;;0;;;
LRA-00032;1;2022-01-14;FLAT;0,3;;;;;;
LRA-00032;1;2022-01-14;TIME;0,1;0;;;;;
LRA-00032;2;2022-01-14;FLAT;0,3;;;;;;
LRA-00032;2;2022-01-14;TIME;0,1;0;;;;;
LRA-00032;3;2022-01-14;FLAT;0,3;;;;;;
LRA-00032;3;2022-01-14;TIME;0,1;0;;;;;
LRA-00033;1;2022-01-05;ENERGY;0,04;;;0;;;
LRA-00033;1;2022-01-05;FLAT;0,6;;;;;;
LRA-00033;1;2022-01-05;TIME;0,04;0;;;;;
LRA-00034;1;2022-01-05;ENERGY;0,02;;;0;;;
LRA-00034;1;2022-01-05;FLAT;0,6;;;;;;
LRA-00034;1;2022-01-05;TIME;0,03;0;;;;;
LRA-00035;1;2022-01-05;FLAT;0,3;;;;;;
LRA-00035;1;2022-01-05;TIME;0,02;0;;;;;
LRA-00036;1;2022-01-05;ENERGY;0,04;;;0;;;
LRA-00036;1;2022-01-05;FLAT;0,7;;;;;;
LRA-00036;1;2022-01-05;TIME;0,04;0;;;;;
LRA-00036;2;2022-01-05;ENERGY;0,04;;;0;;;
LRA-00036;2;2022-01-05;FLAT;0,7;;;;;;
LRA-00036;2;2022-01-05;TIME;0,04;0;;;;;
LRA-00037;1;2022-02-13;FLAT;0,2964;;;;;;
LRA-00037;1;2022-02-13;TIME;0,08;0;;;;;
LRA-00038;1;2022-02-13;FLAT;0,2964;;;;;;
LRA-00038;1;2022-02-13;TIME;0,08;0;;;;;
LRA-00039;1;2022-02-13;FLAT;0,2964;;;;;;
LRA-00039;1;2022-02-13;TIME;0,08;0;;;;;
LRA-00040;1;2022-02-13;FLAT;0,2964;;;;;;
LRA-00040;1;2022-02-13;TIME;0,02;0;;;;;
LRA-00041;1;2022-02-13;FLAT;0,2964;;;;;;
LRA-00041;1;2022-02-13;TIME;0,02;0;;;;;
LRA-00042;1;2022-02-13;FLAT;0,2964;;;;;;
LRA-00042;1;2022-02-13;TIME;0,02;0;;;;;
LRA-00043;1;2022-02-13;FLAT;0,2964;;;;;;
LRA-00043;1;2022-02-13;TIME;0,02;0;;;;;
LRA-00044;1;2022-02-13;FLAT;0,2964;;;;;;
LRA-00044;1;2022-02-13;TIME;0,02;0;;;;;
LRA-00045;1;2022-02-13;FLAT;0,2964;;;;;;
LRA-00045;1;2022-02-13;TIME;0,02;0;;;;;
LRA-00046;1;2021-10-25;FLAT;0,165;;;;;;
LRA-00046;1;2021-10-25;TIME;0,1;0;;;;;
LRA-00046;2;2021-10-25;FLAT;0,165;;;;;;
LRA-00046;2;2021-10-25;TIME;0,1;0;;;;;
LRA-00047;1;2021-10-25;FLAT;0,165;;;;;;
LRA-00047;1;2021-10-25;TIME;0,15;0;;;;;
LRA-00047;2;2021-10-25;FLAT;0,165;;;;;;
LRA-00047;2;2021-10-25;TIME;0,15;0;;;;;
LRA-00047;3;2021-10-25;FLAT;0,165;;;;;;
LRA-00047;3;2021-10-25;TIME;0,15;0;;;;;
LRA-00048;1;2022-01-14;FLAT;0,3;;;;;;
LRA-00048;1;2022-01-14;TIME;0,035;0;;;;;
LRA-00048;2;2022-01-14;FLAT;0,3;;;;;;
LRA-00048;2;2022-01-14;TIME;0,035;0;;;;;
LRA-00049;1;2022-01-14;FLAT;0,3;;;;;;
LRA-00049;1;2022-01-14;TIME;0,035;0;;;;;
LRA-00049;2;2022-01-14;FLAT;0,3;;;;;;
LRA-00049;2;2022-01-14;TIME;0,035;0;;;;;
LRA-00050;1;2021-12-21;TIME;0;0;;;;;
LRA-00050;2;2021-12-21;TIME;0;0;;;;;
LRA-00051;1;2021-12-21;TIME;0;0;;;;;
LRA-00051;2;2021-12-21;TIME;0;0;;;;;
LRA-00052;1;2021-12-21;TIME;0;0;;;;;
LRA-00052;2;2021-12-21;TIME;0;0;;;;;
LRA-00053;1;2021-12-21;TIME;0;0;;;;;
LRA-00053;2;2021-12-21;TIME;0;0;;;;;
LRA-00054;1;2021-12-21;TIME;0;0;;;;;
LRA-00054;2;2021-12-21;TIME;0;0;;;;;
LRA-00055;1;2021-12-21;TIME;0;0;;;;;
LRA-00055;2;2021-12-21;TIME;0;0;;;;;
LRA-00056;1;2021-12-21;TIME;0;0;;;;;
LRA-00056;2;2021-12-21;TIME;0;0;;;;;
LRA-00057;1;2021-12-21;TIME;0;0;;;;;
LRA-00057;2;2021-12-21;TIME;0;0;;;;;
LRA-00058;1;2021-12-21;TIME;0;0;;;;;
LRA-00058;2;2021-12-21;TIME;0;0;;;;;
LRA-00059;1;2022-03-26;FLAT;0,296;;;;;;
LRA-00059;1;2022-03-26;TIME;0,035;0;;;;;
LRA-00060;1;2022-05-26;TIME;0,08;0;;;;;
LRA-00060;2;2022-05-26;TIME;0,08;0;;;;;
LRA-00060;3;2022-05-26;TIME;0,08;0;;;;;
LRA-00061;1;2022-09-21;ENERGY;0,09;;;0;;;
LRA-00061;1;2022-09-21;FLAT;0,3;;;;;;
LRA-00061;1;2022-09-21;TIME;0,08;0;;;;;
LRA-00061;2;2022-09-21;ENERGY;0,09;;;0;;;
LRA-00061;2;2022-09-21;FLAT;0,3;;;;;;
LRA-00061;2;2022-09-21;TIME;0,08;0;;;;;
LRA-00061;3;2022-09-21;ENERGY;0,09;;;0;;;
LRA-00061;3;2022-09-21;FLAT;0,3;;;;;;
LRA-00061;3;2022-09-21;TIME;0,08;0;;;;;
LRA-00062;1;2022-06-24;FLAT;0,296;;;;;;
LRA-00062;1;2022-06-24;TIME;0,02;0;;;;;
LRA-00063;1;2022-07-16;ENERGY;0,5121;;;0;;;
LRA-00064;1;2022-07-16;ENERGY;0,5121;;;0;;;
LRA-00065;1;2022-07-16;ENERGY;0,5121;;;0;;;
LRA-00066;1;2022-07-16;ENERGY;0,5121;;;0;;;
LRA-00067;1;2022-07-16;ENERGY;0,5121;;;0;;;
LRA-00068;1;2022-07-16;ENERGY;0,5121;;;0;;;
LRA-00069;1;2022-07-16;ENERGY;0,5121;;;0;;;
LRA-00070;1;2022-07-16;ENERGY;0,5121;;;0;;;
LRA-00071;1;2022-07-16;ENERGY;0,1;;;0;;;
LRA-00071;1;2022-07-16;FLAT;0,3;;;;;;
LRA-00071;1;2022-07-16;TIME;0,08;0;;;;;
LRA-00071;2;2022-07-16;ENERGY;0,1;;;0;;;
LRA-00071;2;2022-07-16;FLAT;0,3;;;;;;
LRA-00071;2;2022-07-16;TIME;0,08;0;;;;;
LRA-00071;3;2022-07-16;ENERGY;0,1;;;0;;;
LRA-00071;3;2022-07-16;FLAT;0,3;;;;;;
LRA-00071;3;2022-07-16;TIME;0,08;0;;;;;
LRA-00072;1;2022-08-01;FLAT;0,2964;;;;;;
LRA-00072;1;2022-08-01;TIME;0,1;0;;;;;
LRA-00072;2;2022-08-01;FLAT;0,2964;;;;;;
LRA-00072;2;2022-08-01;TIME;0,1;0;;;;;
LRA-00072;3;2022-08-01;FLAT;0,2964;;;;;;
LRA-00072;3;2022-08-01;TIME;0,1;0;;;;;
LRA-00073;1;2022-08-01;FLAT;0,2964;;;;;;
LRA-00073;1;2022-08-01;TIME;0,1;0;;;;;
LRA-00073;2;2022-08-01;FLAT;0,2964;;;;;;
LRA-00073;2;2022-08-01;TIME;0,1;0;;;;;
LRA-00073;3;2022-08-01;FLAT;0,2964;;;;;;
LRA-00073;3;2022-08-01;TIME;0,1;0;;;;;
LRA-00074;1;2022-12-15;FLAT;0,3;;;;;;
LRA-00074;1;2022-12-15;TIME;0,1;0;;;;;
LRA-00074;2;2022-12-15;FLAT;0,3;;;;;;
LRA-00074;2;2022-12-15;TIME;0,1;0;;;;;
LRA-00074;3;2022-12-15;FLAT;0,3;;;;;;
LRA-00074;3;2022-12-15;TIME;0,1;0;;;;;
LRA-00075;1;2022-11-15;ENERGY;0,1;;;0;;;
LRA-00075;1;2022-11-15;FLAT;0,3;;;;;;
LRA-00075;1;2022-11-15;TIME;0,1;0;;;;;
LRA-00075;2;2022-11-15;ENERGY;0,1;;;0;;;
LRA-00075;2;2022-11-15;FLAT;0,3;;;;;;
LRA-00075;2;2022-11-15;TIME;0,1;0;;;;;
LRA-00075;3;2022-11-15;ENERGY;0,1;;;0;;;
LRA-00075;3;2022-11-15;FLAT;0,3;;;;;;
LRA-00075;3;2022-11-15;TIME;0,1;0;;;;;
LRA-00075;4;2022-11-15;ENERGY;0,1;;;0;;;
LRA-00075;4;2022-11-15;FLAT;0,3;;;;;;
LRA-00075;4;2022-11-15;TIME;0,1;0;;;;;
LRA-00076;1;2022-11-15;FLAT;0,3;;;;;;
LRA-00076;1;2022-11-15;TIME;0,03;0;;;;;
LRA-00077;1;2022-12-29;FLAT;0,297;;;;;;
LRA-00077;1;2022-12-29;TIME;0,26;0;;;;;
LRA-00077;2;2022-12-29;FLAT;0,297;;;;;;
LRA-00077;2;2022-12-29;TIME;0,26;0;;;;;
LRA-00078;1;2022-12-29;FLAT;0,297;;;;;;
LRA-00078;1;2022-12-29;TIME;0,1;0;;;;;
LRA-00078;2;2022-12-29;FLAT;0,297;;;;;;
LRA-00078;2;2022-12-29;TIME;0,1;0;;;;;
LRA-00079;1;2022-12-29;FLAT;0,297;;;;;;
LRA-00079;1;2022-12-29;TIME;0,1;0;;;;;
LRA-00079;2;2022-12-29;FLAT;0,297;;;;;;
LRA-00079;2;2022-12-29;TIME;0,1;0;;;;;
LRA-00080;1;2022-12-29;FLAT;0,297;;;;;;
LRA-00080;1;2022-12-29;TIME;0,1;0;;;;;
LRA-00080;2;2022-12-29;FLAT;0,297;;;;;;
LRA-00080;2;2022-12-29;TIME;0,1;0;;;;;
LRA-00081;1;2022-12-29;FLAT;0,297;;;;;;
LRA-00081;1;2022-12-29;TIME;0,03;0;;;;;
LRA-00081;2;2022-12-29;FLAT;0,297;;;;;;
LRA-00081;2;2022-12-29;TIME;0,03;0;;;;;
LRA-00082;1;2022-12-29;FLAT;0,297;;;;;;
LRA-00082;1;2022-12-29;TIME;0,03;0;;;;;
LRA-00082;2;2022-12-29;FLAT;0,297;;;;;;
LRA-00082;2;2022-12-29;TIME;0,03;0;;;;;
LRA-00083;1;2022-12-29;FLAT;0,297;;;;;;
LRA-00083;1;2022-12-29;TIME;0,03;0;;;;;
LRA-00083;2;2022-12-29;FLAT;0,297;;;;;;
LRA-00083;2;2022-12-29;TIME;0,03;0;;;;;
LRA-00084;1;2022-12-29;FLAT;0,297;;;;;;
LRA-00084;1;2022-12-29;TIME;0,03;0;;;;;
LRA-00084;2;2022-12-29;FLAT;0,297;;;;;;
LRA-00084;2;2022-12-29;TIME;0,03;0;;;;;
LRA-00085;1;2022-12-29;FLAT;0,297;;;;;;
LRA-00085;1;2022-12-29;TIME;0,03;0;;;;;
LRA-00085;2;2022-12-29;FLAT;0,297;;;;;;
LRA-00085;2;2022-12-29;TIME;0,03;0;;;;;
LRA-90001;1;2020-08-26;TIME;0,0046;0;;;;;
LRA-90001;2;2020-08-26;TIME;0,0046;0;;;;;
LRA-90002;1;2020-08-26;TIME;0,0046;0;;;;;
LRA-90002;2;2020-08-26;TIME;0,0046;0;;;;;
LRA-90003;1;2021-08-12;TIME;0,004;0;;;;;
LRA-90003;2;2021-08-12;TIME;0,004;0;;;;;
LRA-90004;1;2021-11-21;TIME;0,015;0;;;;;
LRA-90004;2;2021-11-21;TIME;0,015;0;;;;;
LRA-90005;1;2020-08-01;TIME;0,006;0;;;;;
LRA-90005;2;2020-08-01;TIME;0,006;0;;;;;
LRA-90005;3;2020-08-01;TIME;0,006;0;;;;;
LRA-90005;4;2020-08-01;TIME;0,006;0;;;;;
LRA-90005;5;2020-08-01;TIME;0,006;0;;;;;
LRA-90005;6;2020-08-01;TIME;0,006;0;;;;;
LRA-90006;1;2020-08-26;TIME;0,0037;0;;;;;
LRA-90006;2;2020-08-26;TIME;0,0037;0;;;;;
LRA-90006;3;2020-08-26;TIME;0,0037;0;;;;;
LRA-90006;4;2020-08-26;TIME;0,0037;0;;;;;
LRA-90007;1;2021-04-24;TIME;0,007;0;;;;;
LRA-90007;2;2021-04-24;TIME;0,007;0;;;;;
LRA-90008;1;2021-02-08;TIME;0,009;0;;;;;
LRA-90008;2;2021-02-08;TIME;0,009;0;;;;;
LRA-90008;3;2021-02-08;TIME;0,009;0;;;;;
LRA-90008;4;2021-02-08;TIME;0,009;0;;;;;
LRA-90009;1;2021-04-24;TIME;0,004;0;;;;;
